,base,tag
554,klasyfikacja,subst:sg:gen:f
555,zespołowy,adj:sg:inst:m1:pos
556,ekipa,subst:sg:nom:f
557,TŚl,ign
558,zaszczytny,adj:sg:nom:m1:pos
559,trzeci,subst:pl:nom:m2
560,wyprzedzić,praet:sg:f:perf
561,jedynie,qub
562,zespół,subst:sg:gen:m3
563,działo,subst:sg:gen:n
564,podczas,prep:gen
565,festyn,subst:sg:loc:m3
566,rekreacyjno,ign
567,informacyjny,adj:sg:gen:f:pos
568,Ruch,subst:sg:gen:m3
569,społeczny,adj:sg:gen:f:pos
570,AWS,subst:sg:nom:m3
571,sobota,subst:sg:acc:f
572,dwór,subst:sg:loc:m3
573,Artus,subst:sg:gen:m1
574,gdański,adjp
575,zainteresowany,subst:pl:nom:m1
576,polityka,subst:sg:gen:f
577,spacerować,fin:sg:pri:imperf
578,ul,subst:sg:nom:m3
579,mogel,subst:pl:gen:m3
580,zaopatrzyć,praet:sg:n:perf
581,materiał,subst:pl:nom:m3
582,przeprowadzić,imps:perf
583,reforma,subst:pl:gen:f
584,zapoznać,praet:sg:m1:perf
585,główny,adj:sg:gen:m1:pos
586,założenie,subst:pl:inst:n
587,gospodarczy,adj:sg:gen:f:pos
588,Pomorze,subst:sg:dat:n
589,podoba,subst:sg:nom:f
590,mi,subst:sg:nom:n
591,pomysł,subst:pl:nom:m3
592,7,num:pl:nom:m1:rec
593,osoba,subst:pl:dat:f
594,wykonywać,pcon:imperf
595,czynność,subst:sg:gen:f
596,kontrolny,adj:sg:nom:m1:pos
597,sporządzać,fin:sg:ter:imperf
598,protokół,subst:sg:gen:m3
599,8,num:pl:nom:m1:rec
600,podpisywać,fin:pl:ter:imperf
601,oraz,conj
602,podmiot,subst:sg:nom:m3
603,kontrolowany,adj:sg:nom:f:pos
604,9,num:pl:nom:m1:rec
605,przypadek,subst:sg:gen:m3
606,odmowa,subst:sg:gen:f
607,podpisać,praet:pl:m2:perf
608,tylko,conj
609,dokonywać,fin:sg:ter:imperf
610,stosowny,adj:sg:inst:m1:pos
611,adnotacja,subst:sg:gen:f
612,połączenie,subst:sg:nom:n
613,przewidywać,fin:sg:ter:imperf
614,porozumienie,subst:sg:gen:n
615,zawrzeć,ppas:sg:acc:f:perf:aff
616,październik,subst:sg:gen:m3
617,między,prep:acc
618,oba,num:pl:nom:m1:rec
619,spółka,subst:sg:gen:f
620,zakładać,fin:sg:ter:imperf
621,generalnie,adv:pos
622,Tychy,subst:pl:gen:n
623,przejma,subst:sg:dat:f
624,majątek,subst:pl:gen:m3
625,gorzowski,adj:sg:inst:m1:pos
626,przedsiębiorstwo,subst:pl:gen:n
627,zamian,subst:sg:nom:m3
628,wydać,ppas:sg:nom:f:perf:aff
629,akcja,subst:pl:nom:f
630,nowa,subst:pl:gen:f
631,emisja,subst:sg:nom:f
632,parytet,subst:sg:gen:m3
633,wymian,subst:pl:nom:m3
634,mój,subst:sg:nom:m1
635,ustalić,ppas:sg:nom:n:perf:aff
636,tok,subst:sg:gen:m3
637,daleki,adj:sg:nom:f:pos
638,negocjacja,subst:sg:gen:f
639,Beata,subst:sg:nom:f
640,wydrukować,ppas:sg:nom:n:perf:aff
641,aniołek,subst:sg:nom:m1
642,lubić,fin:sg:pri:imperf
643,pisać,fin:sg:pri:imperf
644,reportaż,subst:sg:nom:m3
645,modlić,praet:sg:f:imperf
646,myśl,subst:sg:nom:f
647,czego,adv:pos
648,pragnąć,fin:sg:pri:imperf
649,sporo,adv:pos
650,hinduizm,subst:sg:loc:m3
651,islam,subst:sg:nom:m3
652,Świat,subst:sg:nom:m3
653,opowiadać,fin:sg:ter:imperf
654,usta,subst:pl:nom:n
655,zabijać,impt:sg:sec:imperf
656,inny,adj:sg:nom:f:pos
657,napisać,ppas:pl:gen:m1:perf:aff
658,więc,conj
659,pewność,subst:sg:inst:f
660,bal,subst:pl:nom:m3
661,stać,fin:sg:pri:imperf
662,kuta,subst:sg:nom:f
663,tuż,adv:pos
664,przy,prep:loc
665,deptak,subst:sg:nom:m3
666,akurat,adv:pos
667,mieszkać,praet:sg:m1:imperf
668,dzień,subst:pl:nom:m3
669,hotel,subst:sg:gen:m3
670,nieopodal,adv:pos
671,niemłoda,subst:sg:nom:f
672,kobieta,subst:sg:nom:f
673,pewnie,adv:pos
674,mieszkanka,subst:pl:gen:f
675,wieś,subst:sg:gen:f
676,Aba,ign
677,rozpoznać,inf:perf
678,Czajka,subst:sg:acc:m1
679,pokazać,praet:pl:m1:perf
680,wejść,praet:pl:m1:perf
681,środek,subst:sg:loc:m3
682,pałac,subst:sg:gen:m3
683,trójka,subst:sg:gen:f
684,początek,subst:pl:loc:m3
685,nieśmiało,adv:pos
686,przekonanie,subst:sg:nom:n
687,dopuścić,ppas:pl:gen:m1:perf:neg
688,królewski,adj:sg:nom:n:pos
689,prywatność,subst:sg:nom:f
690,dostępować,fin:pl:ter:imperf
691,wyjątkowy,adj:sg:nom:f:pos
692,zaszczyt,subst:sg:nom:m3
693,brama,subst:sg:inst:f
694,podarować,praet:sg:m1:perf
695,dziedziniec,subst:sg:loc:m3
696,kolorowy,adj:sg:nom:f:pos
697,tłum,subst:sg:loc:m3
698,rozgadany,adj:sg:nom:m1:pos
699,tutejszy,depr:pl:nom:m2
700,biały,subst:sg:nom:m1
701,Japończyk,subst:sg:gen:m1
702,czekać,fin:pl:ter:imperf
703,lista,subst:sg:nom:f
704,ranna,subst:sg:nom:f
705,przyjęty,subst:sg:inst:m1
706,szpital,subst:sg:gen:m3
707,tutaj,adv:pos
708,całkiem,adv:pos
709,pacjent,subst:sg:gen:m1
710,ewakuować,imps:imperf
711,następny,subst:sg:gen:m1
712,Darwin,subst:sg:nom:m1
713,Australia,subst:sg:acc:f
714,spis,subst:sg:nom:m3
715,cudzoziemiec,subst:pl:gen:m1
716,zamach,subst:pl:gen:m3
717,trafić,praet:sg:f:perf
718,wpadły,adj:sg:nom:f:pos
719,pod,prep:acc:nwok
720,samochód,subst:sg:nom:m3
721,jeździć,praet:pl:m1:imperf
722,szalony,subst:pl:nom:m1
723,reguła,subst:pl:gen:f
724,jeszcze,qub
725,lewostronnie,adv:pos
726,iść,pact:sg:nom:f:imperf:aff
727,strona,subst:sg:dat:f
728,rzeka,subst:pl:gen:f
729,ogarnąć,praet:sg:m1:perf
730,niepokój,subst:sg:nom:m3
731,Ewelina,subst:sg:acc:f
732,nigdzie,adv:pos
733,widać,pred
734,minąć,praet:pl:m2:perf
735,zakręt,subst:pl:loc:m3
736,skierować,ppas:sg:nom:n:perf:aff
737,mostek,subst:sg:inst:m3
738,blisko,adv:pos
739,nagle,adv:pos
740,siostrzenica,subst:sg:nom:f
741,stała,subst:sg:nom:f
742,oprzeć,ppas:sg:gen:f:perf:aff
743,balustrada,subst:sg:dat:f
744,patrzyć,praet:sg:m1:imperf
745,woda,subst:sg:inst:f
746,słyszeć,praet:sg:f:imperf
747,Suzanne,ign
748,spojrzeć,praet:sg:m1:perf
749,uśmiechnąć,praet:sg:m1:perf
750,uśmiech,subst:sg:gen:m3
751,ojciec,subst:sg:dat:m1
752,twoja,subst:sg:nom:f
753,brać,fin:sg:pri:imperf
754,udział,subst:sg:nom:m3
755,wojna,subst:sg:gen:f
756,bolszewik,subst:pl:gen:m1
757,powiedzieć,praet:pl:m1:perf
758,starać,fin:sg:pri:imperf
759,zachować,inf:perf
760,Janek,subst:sg:nom:m1
761,twój,adj:sg:gen:m1:pos
762,przywieźć,praet:pl:m1:perf
763,ledwie,comp
764,żywy,adj:pl:nom:m1:pos
765,potem,adv:pos
766,wybuchnąć,fin:sg:ter:perf
767,przeszły,adj:sg:nom:f:pos
768,archiwum,subst:sg:nom:n
769,przeglądać,fin:pl:pri:imperf
770,gazeta,subst:sg:dat:f
771,proces,subst:sg:nom:m3
772,zabójca,subst:sg:gen:m1
773,nasi,subst:pl:gen:m1
774,sprzątnąć,praet:pl:m1:perf
775,darmo,adv:pos
776,prawda,subst:sg:nom:f
777,wkładać,praet:sg:m1:imperf
778,karta,subst:sg:acc:f
779,wkladasz,ign
780,żeby,comp
781,buchnąć,praet:sg:n:perf
782,rower,subst:pl:gen:m3
783,znaczyć,fin:sg:ter:imperf
784,zupełnie,adv:pos
785,zasada,subst:sg:gen:f
786,kurwa,subst:sg:nom:f
787,trzydzieści,num:pl:nom:m1:rec
788,euro,subst:sg:nom:n
789,abonament,subst:sg:nom:m3
790,roczny,adj:pl:gen:m1:pos
791,dosyć,pred
792,dobra,subst:pl:nom:n
793,ciepławy,adj:sg:inst:m1:pos
794,gładki,adj:sg:acc:f:pos
795,powierzchnia,subst:sg:acc:f
796,pewno,adv:pos
797,tam,adv:pos
798,złapać,praet:sg:f:perf
799,podeszwa,subst:sg:gen:f
800,osłodzić,praet:sg:m1:perf
801,herbata,subst:sg:nom:f
802,cukier,subst:sg:nom:m3
803,stoa,subst:sg:gen:f
804,rzesza,subst:pl:nom:f
805,cipa,subst:sg:acc:f
806,łyżka,subst:sg:gen:f
807,piąć,ger:pl:gen:n:imperf:aff
808,syp,subst:sg:loc:m3
809,sło,ign
810,słodki,adj:sg:gen:f:pos
811,organizm,subst:sg:nom:m3
812,potrzebować,fin:sg:pri:imperf
813,pić,inf:imperf
814,wyprostować,praet:sg:m1:perf
815,druga,subst:sg:gen:f
816,wziąć,inf:perf
817,noga,subst:pl:inst:f
818,światełko,subst:sg:nom:n
819,odpowiedni,adj:sg:nom:n:pos
820,dama,subst:pl:gen:f
821,rada,subst:sg:nom:f
